Country,srcYear,Crop name,Season,Estimates of yield,YearCode,Year
India,2014-15,Barley,Rabi,2280,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Nutri Cereals,Kharif,1633,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Nutri Cereals,Rabi,1915,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Cereals,Kharif,2081,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Cereals,Rabi,2681,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Tur (Arhar),Kharif,729,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Gram,Rabi,889,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Urad,Kharif,516,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Urad,Rabi,891,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Moong,Kharif,428,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Moong,Rabi,640,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Lentil,Rabi,705,2014,"Financial Year (Apr - Mar), 2014"
India,2014-15,Other Kharif Pulses,Kharif,474,2014,"Financial Year (Apr - Mar), 2014"
